Marca temporal;Genero;Qu edad tienes?;Trabajas en la carretera?;Eres autnomo o asalariado?;Tienes momentos en los que la carga esta vaca?;Estaras dispuesto a recoger un envo adicional si este se ajusta a tu ruta actual y est disponible inmediatamente?;Con qu frecuencia tienes viajes de retorno vacos a la semana?;Qu tipo de vehculo usas?;Qu tipo de carga aceptas?;Estaras dispuesto a compartir informacin sobre tus rutas y disponibilidad de espacio para mejorar la eficiencia?;Aceptaras un envo a cambio de un ingreso extra?;Tienes alguna sugerencia o caracterstica especfica que te gustara que NEAR incluyera?;Utilizas servicios de paqueteria habitualmente?;Con que frecuencia aproximadamente envas paquetes al mes?;Cambiarias el mtodo de envi por uno ms econmico y sostenible?;Prefieres la recogida a domicilio, puntos de entrega locales, o ambas opciones?;Qu tan dispuesto estarias a probar un nuevo servicio de envo como NEAR?;Tienes alguna sugerencia o caracterstica especfica que te gustara que NEAR incluyera?.1
3/16/2024 21:09:29;Hombre;777;No;;;;;;;;;;Nunca;;;;;
3/16/2024 22:02:14;Hombre;28;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Muy dispuesto;Juan
3/16/2024 22:07:46;Hombre;87;Si;Autonomo;Sí;Sí;1-3;;;Sí;Si;;;;;;;
3/17/2024 12:38:12;Hombre;123;No;;;;;;;;;;Nunca;;;;;
3/17/2024 12:40:15;Mujer;25;No;;;;;;;;;;A veces;1-5;Sí;Recogida a domicilio;Muy dispuesto;"Habría que incluir el tamaño del paquete en la app para que el conductor pueda valorar si le cabe o no el nuevo paquete en su camión.
Por otra parte, sería más seguro para el conductor y eficiente que otro se encargara de valorar cuántos paquetes nuevos caben y le fuera comunicando las nuevas paradas"
3/17/2024 12:41:49;Mujer;23;No;;;;;;;;;;A veces;10 o más;Sí;Punto de entrega;Poco dispuesto;Tiempo
3/17/2024 13:02:49;Hombre;18;No;;;;;;;;;;Sí;1-5;Sí;;Muy dispuesto;
3/17/2024 14:26:03;Mujer;45;No;;;;;;;;;;A veces;;Sí;Punto de entrega;Poco dispuesto;Saber la experiencia o recorrido de quien ahora enviará mi paquete, para tener la seguridad de que esta en buenas manos.
3/17/2024 14:32:12;Mujer;28;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Muy dispuesto;Que se muestre fiable, que tenga un buen sistema de seguimiento del paquete y garantías
3/17/2024 14:34:36;Mujer;34;No;;;;;;;;;;A veces;1-5;Sí;Recogida a domicilio;Muy dispuesto;Que el cliente que recibe el paquete confirme a través de la aplicación que recibió el pedido a satisfacción. Podría ser que el domiciliario haga firmar en un dispositivo móvil y la notificación le llegue al que solicitó el servicio. Sugiero esto porque me ha pasado varias veces que ni el domiciliario ni el cliente me confirman si el pedido si llegó y me toca contactar a alguno de ellos. Tampoco aclaran quien sería el responsable si el pedido se pierde.
3/17/2024 16:39:34;Hombre;19;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Muy dispuesto;
3/17/2024 21:37:14;Hombre;57;Si;Asalariado;Tal vez;Sí;3-5;;;Sí;Si;No de momento;;;;;;
3/17/2024 23:32:38;Hombre;19;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Muy dispuesto;
3/18/2024 0:04:23;Mujer;33;No;;;;;;;;;;A veces;1-5;Sí;Punto de entrega;Muy dispuesto;
3/18/2024 4:24:02;Mujer;32;No;;;;;;;;;;A veces;1-5;Sí;Recogida a domicilio;Muy dispuesto;
3/18/2024 8:57:57;Mujer;21;No;;;;;;;;;;A veces;1-5;Sí;Punto de entrega;Muy dispuesto;Me parece una excelente idea! Os felicito! 
3/18/2024 9:04:43;Hombre;20;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Muy dispuesto;No
3/18/2024 9:08:10;Mujer;19;No;;;;;;;;;;A veces;1-5;Sí;Punto de entrega;Poco dispuesto;Baratito 
3/18/2024 9:09:34;Hombre;19;No;;;;;;;;;;Sí;5-10;Sí;Recogida a domicilio;Muy dispuesto;Nada todo ok
3/18/2024 13:56:34;Hombre;48;No;;;;;;;;;;Sí;1-5;Tal vez;Ambas opciones;Muy dispuesto;
3/18/2024 14:04:26;Mujer;29;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Muy dispuesto;
3/18/2024 14:06:18;Mujer;20;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Muy dispuesto;
3/18/2024 14:40:15;Mujer;43;No;;;;;;;;;;Sí;1-5;Sí;Ambas opciones;Muy dispuesto;
3/18/2024 15:42:52;Mujer;21;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Muy dispuesto;
3/18/2024 15:57:28;Mujer;42;No;;;;;;;;;;Sí;5-10;Sí;Punto de entrega;Muy dispuesto;
3/18/2024 15:57:55;Mujer;24;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Muy dispuesto;
3/19/2024 12:53:04;Mujer;30;No;;;;;;;;;;A veces;1-5;Sí;Punto de entrega;Poco dispuesto;
3/19/2024 15:15:20;Hombre;33;Si;Autonomo;Sí;Sí;1-3;;;No;Si;;;;;;;
3/19/2024 17:00:38;Hombre;33;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Muy dispuesto;
3/19/2024 20:35:04;Hombre;52;Si;Asalariado;No;;;;;;;;;;;;;
3/20/2024 8:34:13;Hombre;26;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Poco dispuesto;
3/21/2024 8:50:57;Hombre;20;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Muy dispuesto;
3/22/2024 12:40:52;Hombre;27;No;;;;;;;;;;Sí;1-5;Tal vez;Ambas opciones;Poco dispuesto;
3/24/2024 12:29:37;Mujer;21;No;;;;;;;;;;Sí;1-5;Sí;Ambas opciones;Muy dispuesto;
3/26/2024 15:11:56;Hombre;41;Si;Asalariado;Sí;Sí;5-7;;;Sí;Si;;;;;;;
3/29/2024 12:12:30;Hombre;25;No;;;;;;;;;;A veces;1-5;No;Ambas opciones;Nada dispuesto;
3/29/2024 12:19:54;Hombre;25;No;;;;;;;;;;Nunca;;;;;
3/29/2024 13:11:43;Mujer;40;No;;;;;;;;;;Sí;1-5;Sí;Recogida a domicilio;Muy dispuesto;
4/9/2024 13:31:44;Mujer;28;No;;;;;;;;;;A veces;1-5;Sí;Ambas opciones;Muy dispuesto;
4/9/2024 13:54:57;Hombre;42 años ;No;;;;;;;;;;Sí;1-5;Sí;Recogida a domicilio;Muy dispuesto;Traer mi propia mercadería 
